1988,3
1989,10
1990,17
1991,21
1992,30
1993,57
1994,80
1995,116
1996,113
1997,139
1998,169
1999,216
2000,249
2001,278
2002,321
2003,360
2004,405
2005,434
2006,509
2007,520
2008,577
2009,557
2010,687
2011,687
2012,658
2013,636
2015,618
2017,662
