1979,25
1980,21
1981,27
1982,19
1983,17
1984,15
1985,16
1986,18
1987,28
1988,31
1989,34
1990,40
1991,45
1992,40
1993,57
1994,83
1995,99
1996,148
1997,178
1998,205
1999,248
2000,257
2001,327
2002,335
2003,373
2004,435
2005,467
2006,546
2007,549
2008,637
2009,690
2010,782
2011,815
2012,809
2013,660
2014,746
2015,866
2016,925
2017,905
